Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Adult,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Flu,Common Illnesses,"Chills, Body aches, Fever",Child,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue",Elderly,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking",Elderly,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision, Frequent urination",Adult,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Weight gain, Hair thinning",Child,Any,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Eczema,Dermatological,"Dryness, Red patches, Swelling",Child,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough, Night sweats",Elderly,Female,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Acne, Weight gain",Adult,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss, Mood swings",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Sweating, Chest pain, Shortness of breath, Nausea",Child,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough",Child,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss, Confusion",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Chest pain",Elderly,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Frequent urination, Blurred vision",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Adult,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea",Child,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats, Weight loss",Child,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Mood swings, Memory loss",Adult,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Fatigue",Child,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Nausea, Sweating",Teen,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Blurred vision",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough",Elderly,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Fatigue, Frequent urination",Adult,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting, Abdominal pain",Adult,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Adult,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods, Weight gain",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite",Child,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Elderly,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Nausea",Elderly,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Body aches, Chills, Fever",Teen,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Teen,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Swelling, Itchy skin",Adult,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Dryness, Swelling, Red patches",Teen,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Elderly,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Body aches, Sore throat, Cough, Fever",Adult,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Adult,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Weight gain, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Chills, Sore throat, Fever",Adult,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Sweating, Nausea",Adult,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue, Blurred vision",Child,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Fever, Sore throat, Chills",Adult,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Acne, Hair thinning",Teen,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Adult,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Adult,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Adult,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Red patches, Dryness, Itchy skin, Swelling",Child,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea",Child,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea",Adult,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Teen,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness",Adult,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Abdominal pain",Teen,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Sore throat, Fever, Body aches",Adult,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Fatigue",Child,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Dryness, Swelling",Child,Any,Severe,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Nausea, Abdominal pain",Teen,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Elderly,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Elderly,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Hair thinning, Irregular periods",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Increased thirst, Fatigue",Adult,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Teen,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Acne, Hair thinning",Teen,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods, Weight gain",Adult,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Increased thirst",Elderly,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Vision problems",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Teen,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Swelling, Itchy skin, Red patches, Dryness",Adult,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain, Sweating",Teen,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Nausea, Sweating",Adult,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Swelling, Red patches",Adult,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Cough",Elderly,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Red patches, Swelling, Itchy skin, Dryness",Elderly,Any,Severe,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing",Elderly,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting",Teen,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Mood swings, Memory loss",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Adult,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Itchy skin, Swelling, Red patches",Child,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Child,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Cough, Chills",Child,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Sweating, Shortness of breath",Teen,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain, Vomiting",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing",Elderly,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Elderly,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Irregular periods, Acne",Elderly,Any,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Sweating, Chest pain, Shortness of breath, Nausea",Teen,Male,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough, Weight loss",Adult,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Teen,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Shortness of breath, Chest tightness, Wheezing",Teen,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Wheezing, Chest tightness, Cough",Adult,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Red patches, Dryness",Teen,Any,Severe,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting, Abdominal pain",Child,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Elderly,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Loss of appetite",Adult,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Swelling, Itchy skin, Dryness",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Cough, Chills, Sore throat",Child,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Acne",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Child,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Child,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Swelling, Itchy skin",Child,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Dryness, Swelling, Itchy skin, Red patches",Elderly,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Child,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Fatigue",Elderly,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion, Numbness",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Poor judgment, Mood swings",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Adult,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion",Adult,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Chills, Cough, Body aches",Adult,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Acne",Teen,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Cough, Weight loss",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite, Nausea",Elderly,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Teen,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Child,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking, Numbness",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning",Teen,Female,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Eczema,Dermatological,"Dryness, Itchy skin",Child,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Cough, Fever, Sore throat, Body aches",Child,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion",Child,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Swelling, Itchy skin, Red patches",Child,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Cough, Body aches, Fever, Chills",Elderly,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Body aches, Sore throat, Fever, Cough",Elderly,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Fatigue",Adult,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Swelling",Elderly,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
