Name,Category,Address/Details,City,Rating
Dr Mariam Sadiq,Dermatologist,"Skin care clinic 1st Floor, Burhan Plaza, Chen One Rd, opp. Eden Robe",Faisalabad,5.0
Dr Javed Ahmad |ENT| Specialist Faisalabad,Dermatologist,Hospital Al Faisal hospital,Faisalabad,5.0
"Dr Muhammad Jahangeer Sarwar (Heart-Specialist, Echocardiography) MBBS FCPS Cardiology","Heart-Specialist, Echocardiography","Cardiologist The Canal Hospital, Tatha Pull, Canal Expy, near Treat Bakers",Faisalabad,5.0
"Dr Danish Hassnain, ENT Specialist, Clinic/ Essential ENT Associates Faisalabad",ENT Specialist,"Otolaryngologist Hajrah Kareem Hospital, 186-B Main Blvd",Faisalabad,4.9
Dr Awais Ansari | ENT Specialist | Physician & Surgeon,Surgeon,"Otolaryngologist 571-B, Chughtai Medical Center, Satyana Road Parking",Faisalabad,4.8
Dr Khalid Parvez Babar,Rheumatologist,"Rheumatologist The CANAL Hospital 3-W Block, East Canal Road",Faisalabad,4.9
Dr Shah Bano Mujtaba,Rheumatologist,"Hospital HMCHolistic Medical Care Executive clinic service road, Canal Expy, near Faisalabad international hospital",Faisalabad,4.4
Dr Tanveer Hussain's Specialist Polyclinic Sammanabad.Faisalabad,Rheumatologist,Medical clinic Madni chowk,Faisalabad,4.9
Dr Faraz Saeed Qureshi clinic,Rheumatologist,Medical clinic 435-D,Faisalabad,4.5
Dr Awais Ansari | ENT Specialist Faisalabad,ENT Specialist,Otolaryngologist Aziz Fatimah Hospital,Faisalabad,5.0
"Dr Muhammad Saleem Iqbal.Best Surgeon in Faisalabad, Laparoscopic Surgeon in Faisalabad",Surgeon,Surgeon Umar Hospital,Faisalabad,4.7
Dr Muhammad Ali Tirmizey E.N.T,Surgeon,"Medical clinic C4GF+QJC Akram Shaheed Road, Susan Road",Faisalabad,4.3
Dr.Amir Hussain Clinic,Surgeon,"Doctor 1091 Bilal Rd, near Sitara Tower",Faisalabad,4.6
"Dr Umair Shafqat, Gastroenterologist, Stomach and Liver Specialist. ڈاکٹر عمیر شفقت، ماہر امراضِ معدہ و جگر",Gastroenterologist,"Medical clinic W, Near treat bakers East Canal Road, Block",Faisalabad,5.0
Dr Wasim Ahmad Tariq,Gastroenterologist,"Sexologist lahore sheikhupura road, opposite misaq-ul-mall",Faisalabad,5.0
Dr Maj MUHAMMAD Naeemkhan,Gastroenterologist,Hospital,Faisalabad,4.7
Dr Iltifat Sultan's Clinic,Pulmonologist,Pulmonologist 687-B Satayana Rd,Faisalabad,3.6
Dr.Mubarak Ali Anjum Clinic,Pulmonologist,Medical clinic C3VX+VPG,Faisalabad,4.0
Dr Maroof Vaince,Medical Specialist,"Doctor Saad Medical Complex, Jaranwala Rd",Faisalabad,5.0
Dr Abdul Shakoor Medical Specialist,Medical Specialist,Doctor Mujahid Hospital,Faisalabad,4.5
Dr Salman Azhar | Best Medical Specialist in Faisalabad,Medical Specialist,"Doctor Maqsooda Zia Executive Clinics, Sargodha Rd, near Allied Morre",Faisalabad,4.8
Dr Mehboob Alam General Physician in Faisalabad,General Physician,"General practitioner Bushra Nayyar Medical Center, Main Daewoo road, opposite Masjid Ismail Road",Faisalabad,4.64
Dr Javed Ahmad |ENT| Specialist Faisalabad,General Physician,Otolaryngologist Al Faisal hospital,Faisalabad,5.0
Dr Shah Bano Mujtaba,General Physician,"Doctor HMCHolistic Medical Care Executive clinic service road, Canal Expy, near Faisalabad international hospital",Faisalabad,4.4
Dr Syed Hassan Akhtar Bukhari,General Physician,"Doctor C399+FWV, Model Town, Faisalabad, Punjab",Faisalabad,4.4
Dr Nasreen Amjad,General Physician,Doctor C484+5CX,Faisalabad,4.8
"Dr Danish Hassnain, ENT Specialist, Clinic/ Essential ENT Associates Faisalabad",ENT Specialist,"Otolaryngologist Hajrah Kareem Hospital, 186-B Main Blvd",Faisalabad,4.9
Dr Javed Iqbal Family Physician,Family Physician,"Family practice physician C3VQ+J9P, Chowk Bholay Di Jhuggi, Mustafabad, Sargodha Rd",Faisalabad,4.4
"Dr Muhammad Saleem Iqbal.Best Surgeon in Faisalabad, Laparoscopic Surgeon in Faisalabad",Surgeon,Surgeon Umar Hospital,Faisalabad,4.7
Dr.Amir Hussain Clinic,Surgeon,"Doctor 1091 Bilal Rd, near Sitara Tower",Faisalabad,4.6
"Dr Muhammad Jahangeer Sarwar (Heart-Specialist, Echocardiography) MBBS FCPS Cardiology","Heart-Specialist, Echocardiography","Cardiologist The Canal Hospital, Tatha Pull, Canal Expy, near Treat Bakers",Faisalabad,5.0
Dr.Mahboob Clinic,"Heart-Specialist, Echocardiography","Family practice physician Street 9, Sariana Road",Faisalabad,4.8
Dr Yasir Majeed Family Care Medical Center(FCMC). Pharmacy.Lab Collection.Ultrasound,FCMC,Doctor Family care Medical Center.Canal lab.29k. Gulistan colony 1.Near Omer mosque Mosque,Faisalabad,4.0
Dr Abdul Wahab,FCMC,Occupational medical physician F38J+4RC,Faisalabad,5.0
Dr Farhan Saeed,FCMC,"Family practice physician House number 4, 4 Street 15",Faisalabad,5.0
Dr Mariam Sadiq,Dermatologist,"Skin care clinic 1st Floor, Burhan Plaza, Chen One Rd, opp. Eden Robe",Faisalabad,5.0
"Dr.Muhammad Saleem Iqbal -Great Surgeon in Faisalabad, Laparoscopic Surgeon in Faisalabad",Surgeon,Surgeon C4CC+6X8 Mujahid Hospital,Faisalabad,5.0
Dr Iltifat Sultan's Clinic,Pulmonologist,Pulmonologist 687-B Satayana Rd,Faisalabad,3.6
Dr Jawad Malik,Pulmonologist,"Medical clinic C4WG+PQ6, Kashmir Rd",Faisalabad,5.0
"Dr Nisar Akber Khan, ENT Specialist",ENT Specialist,"Doctor Faisal Hospital Basement, New Building, Lower Canal Rd E",Faisalabad,4.6
Dr Faraz Saeed Qureshi clinic,ENT Specialist,Medical clinic 435-D,Faisalabad,4.5
Dr Junaid Shakoor General & Skin Physician,Dermatologist,"Medical clinic Bakarmandi Road, Rajbah Rd",Faisalabad,4.64
Dr Kishwar Riaz Clinic,Dermatologist,"Medical clinic C385+7WW, Street 15",Faisalabad,4.9
"Dr Muhammad Saleem Iqbal.Best Surgeon in Faisalabad, Laparoscopic Surgeon in Faisalabad",Surgeon,Surgeon Umar Hospital,Faisalabad,4.7
"Dr.Muhammad Saleem Iqbal -Great Surgeon in Faisalabad, Laparoscopic Surgeon in Faisalabad",Surgeon,Surgeon C4CC+6X8 Mujahid Hospital,Faisalabad,5.0
Dr Muhammad Adeel Javed,Surgeon,"Orthopedic surgeon Rubina Memorial Hospital, Satiana Road",Faisalabad,4.9
Dr Maroof Vaince,Medical Specialist,"Doctor Saad Medical Complex, Jaranwala Rd",Faisalabad,5.0
Dr Javed Ahmad |ENT| Specialist Faisalabad,Surgeon,Surgeon Al Faisal hospital,Faisalabad,5.0
Dr Hafiz M Junaid Neurosurgeon / Brain and Spine Surgeon / Neurologist / Psychiatrist,Surgeon,"Neurosurgeon Siddique Medical Complex, Millat chowk, opposite Patan mart, near Nadra office",Faisalabad,5.0
Dr Ahmad Wahab Vaince PLASTIC & COSMETIC SURGERY CLINIC,Plastic Surgeon,Plastic surgeon Canal Rd,Faisalabad,4.8
Dr Shah Bano Mujtaba,Plastic Surgeon,"Doctor HMCHolistic Medical Care Executive clinic service road, Canal Expy, near Faisalabad international hospital",Faisalabad,4.4
"Dr Danish Hassnain, ENT Specialist, Clinic/ Essential ENT Associates Faisalabad",ENT Specialist,"Otolaryngologist Hajrah Kareem Hospital, 186-B Main Blvd",Faisalabad,4.9
Dr Awais Ansari | ENT Specialist | Physician & Surgeon,Surgeon,"Surgeon 571-B, Chughtai Medical Center, Satyana Road Parking",Faisalabad,4.8
Dr Tayyab Riaz Ch | General & Laparoscopic Surgeon in Faisalabad,Surgeon,"Surgeon 1-KM Khurrianwala, Jaranwala Rd",Faisalabad,5.0
"Dr Shakeel Ahmad (Heart Specialist) MBBS, FCPS Cardiology",Heart Specialist,"Cardiologist Happyheartclinic, east, Canal Expy",Faisalabad,5.0
Dr Abdul Shakoor Medical Specialist,Medical Specialist,Doctor Mujahid Hospital,Faisalabad,4.5
Dr Zaigham Maqsood Bajwa | MZM | Orthopedic & Spine Surgeon | Sports & Trauma Surgeon| Pain Clinic,Surgeon,"Orthopedic surgeon Rabia Trust Hospital, Satyana road Satyana, Road",Faisalabad,4.8
Dr Hafiz M Junaid Neurosurgeon / Brain and Spine Surgeon / Neurologist / Neuropsychiatrist,Surgeon,"Neurosurgeon IDC saleemi chowk 563-B1, Satiana Road,Peoples Colony, Service lane, near ideal Bakery",Faisalabad,5.0
"Dr Nisar Akber Khan, ENT Specialist",ENT Specialist,"Doctor Faisal Hospital Basement, New Building, Lower Canal Rd E",Faisalabad,4.6
Dr Farman Ali (Orthopedic Surgeon),Surgeon,Private hospital Faisal Hospital,Faisalabad,5.0
Dr Salman Azhar | Best Medical Specialist in Faisalabad,Medical Specialist,"Doctor Maqsooda Zia Executive Clinics, Sargodha Rd, near Allied Morre",Faisalabad,4.8
"Dr Fahad Pervaiz Neurosurgeon, Spine Doctor, Brain surgeon, Psychiatrist in Faisalabad",Surgeon,"Doctor Hajra Karim Hospital, Main Blvd",Faisalabad,5.0
Dr Abdullah Bin Saeed,Surgeon,Hospital 673/A,Faisalabad,5.0
"Dr Muhammad Arslan Babar, Eye Specialist",Ophthalmologist,"Doctor Chugtai Medical Center, 571-B Satayana Rd",Faisalabad,5.0
Dr Abdul Rehman,Orthopedic Surgeon,"Orthopedic surgeon Mujahid Hospital, Green Belt Rd",Faisalabad,4.7
Dr Afzaal Javed Orthopedic Surgeon in Faisalabad,Surgeon,"Orthopedic surgeon Bushra Nayyar Medical Center, Main Daewoo road, opposite Masjid Ismail Road",Faisalabad,4.64
"Dr Muhammad Jahangeer Sarwar (Heart-Specialist, Echocardiography) MBBS FCPS Cardiology","Heart-Specialist, Echocardiography","Cardiologist The Canal Hospital, Tatha Pull, Canal Expy, near Treat Bakers",Faisalabad,5.0
Dr.Shahzad Mahmood Shahid Orthopedic Surgeon,Surgeon,Orthopedic surgeon F37J+GF2,Faisalabad,5.0
Dr Awais Ansari | ENT Specialist Faisalabad,ENT Specialist,Surgeon Aziz Fatimah Hospital,Faisalabad,5.0
Dr Asghar Butt,Orthopedic Surgeon,Orthopedic clinic F34M+3C9,Faisalabad,5.0
Dr Nasreen Amjad,Orthopedic Surgeon,Doctor C484+5CX,Faisalabad,4.8
Dr Zaid Gul | Liver and Stomach Care | Gastroenterologist and Hepatologist,Gastroenterologist,Gastroenterologist Faisal Hospital,Faisalabad,4.8
Dr Wasif Iqbal best Child Specialist and Neonatologist with Online video Consultation.,Neonatologist,"Pediatrician Islamabad Diagnostic Center Susan, Road",Faisalabad,4.8
Dr Yawar Abbas,Pediatrician,"Pediatrician 432 C Kashmir Rd, behind Jaamia Masjid Sadaf",Faisalabad,5.0
Dr Kashan Arshad (Pediatric Endocrinologist & Diabetologist),Endocrinologist,Pediatric endocrinologist C3C7+75R The National Hospital,Faisalabad,4.9
Dr.IRAM JAVED @Ibrahim Specialist Clinic,Pediatrician,"Pediatric neurologist 16-206 W Canal Rd, near Kashmir Pul underpass, near Ideal Bakers",Faisalabad,4.7
Dr Fatima Farooq ( Child Specialist ),"Pediatrician,  Child Specialist ",Pediatric clinic Main Allama Iqbal Colony Rd,Faisalabad,4.8
Dr Hussnain Ashfaq (child specialist) Children care clinic,child specialist,"Medical Center Main road, Masoodabad Rd",Faisalabad,5.0
Dr Hassan Shafique (Happy Kids Clinic),Happy Kids Clinic,"Doctor p, 10 Haseeb Rd",Faisalabad,4.7
Dr.Iltifat Clinic,Happy Kids Clinic,Doctor,Faisalabad,4.3
Dr Amir Nazir,Pediatrician,Pediatrician C2QW+PMX,Faisalabad,4.5
Dr Naveed Sadiq Children Clinic,Pediatrician,Medical Center 94X2+G2V,Faisalabad,4.6
Dr Umair Ahmad Ch,Pediatrician,Medical clinic Makki Rd,Faisalabad,5.0
Dr Imtiaz Ahmad Pediatric Cardiologist,Cardiologist,Pediatric cardiologist,Faisalabad,4.9
Dr Shahid Ahmed Heera Clinic,Cardiologist,"Medical Center Main Blvd, near Manzar Medical Center Poly Clinic",Faisalabad,4.4
Dr.Sulman Javaid,Cardiologist,Medical Center 120 C Jaranwala Rd,Faisalabad,4.5
Dr Ayesha Ghaffar Clinic (Child Specialist),Child Specialist,Doctor 470,Faisalabad,5.0
Dr Babar Javed Clinic,Pediatrician,Children Policlinic,Faisalabad,3.8
Dr Khalid Bhatti Children Clinic,Pediatrician,"Child health care centre C3WX+JFX, Raja Rd near Pattan Mart",Faisalabad,4.7
Dr Colonel A. Rehman,Pediatrician,"Doctor Imam Bargah Rd, behind Super ideal sweets",Faisalabad,4.6
Dr Khalid Paracha Clinic,Pediatrician,Child health care centre Plot 175,Faisalabad,3.6
Dr Asad Raza (child specialist),child specialist,Private hospital Chak no 123 jb,Faisalabad,5.0
Dr Mohammad Fahim ur Rehman Hospital,child specialist,"Hospital House 135-C, Hakeem Sultan Ahmad Dawoodi Rd, near Shiblee College for boys",Faisalabad,5.0
Dr Asghar Butt,Orthopedic Surgeon,Orthopedic clinic F34M+3C9,Faisalabad,5.0
Dr Mazhar Rehman Clinic,Orthopedic Surgeon,Hospital Plot 44,Faisalabad,4.9
Dr Zubair Clinic,Orthopedic Surgeon,Doctor,Faisalabad,4.8
Dr Maj MUHAMMAD Naeemkhan,Orthopedic Surgeon,Hospital,Faisalabad,4.7
Dr Sidra Liaqat,Gynecologist,"Gynecologist Plot 4, 4 Street 15",Faisalabad,5.0
Dr Nagina Shahzadi,Gynecologist,Doctor Faisal Hospital Executive Clinic,Faisalabad,5.0
Dr Haroon Hafeez Peads,Pediatrician,Pediatrician Ideal Sweats and Bakers,Faisalabad,4.64
Dr IMRAN QADIR MD FCPS Consultant Urologist,Urologist,"Hospital 120 JB, Sargodha Rd",Faisalabad,4.5
Dr Abeera Ali Gynecologist Faisalabad,Gynecologist,"Obstetrician-gynecologist 6,Altaf Ganj, Altaf",Faisalabad,4.9
Dr Zobia Akram,Gynecologist,"Obstetrician-gynecologist square, behind Amtex Waterfall",Faisalabad,5.0
Dr Saira Sarfraz (Gynecologist Faisalabad),Gynecologist,"Obstetrician-gynecologist 93XX+2V5, Babar Chowk Main Rd",Faisalabad,5.0
Dr Sadia Khan Obstetrician and Gynecologist,Gynecologist,"Medical group C4WR+5J8, near Dr. sadia khan clinic",Faisalabad,3.4
Dr Fehmida Ilyas,Gynecologist,Obstetrician-gynecologist 713 Makki Rd,Faisalabad,4.6
"Dr Sidra Mushtaq (Consultant Gynecologist) MBBS, FCPS Gynae & Obs.",Gynecologist,Gynecologist Professors Hospital,Faisalabad,5.0
Dr Samina Kausar,Gynecologist,Obstetrician-gynecologist Main Blvd,Faisalabad,5.0
Dr Parveen Nasir Gynaecologists,Gynecologist,"Gynecologist C387+XWH, Road",Faisalabad,3.8
Dr Sobia Anwar Clinic,Gynecologist,"Obstetrician-gynecologist House no 6, D block Khawaja Islam Rd",Faisalabad,3.9
Dr Sadaf Gynecologists,Gynecologist,Hospital C3RV+RFG,Faisalabad,5.0
Dr Rimla Ayesha (Consultant Gynaecologist and Obstetrician),Consultant Gynaecologist and Obstetrician,"Gynecologist Faisal Hospital, 673 A Lower Canal Rd E",Faisalabad,5.0
Dr hafsa tahir gynecologist,Gynecologist,Obstetrician-gynecologist 199 b B,Faisalabad,5.0
Dr Sadia Saleem Gynaecologist in Faisalabad,Gynecologist,"Gynecologist Bushra Nayyar Medical Center, Main Daewoo road, opposite Masjid Ismail Road",Faisalabad,4.64
Dr Nargis Iqbal Gynecologist,Gynecologist,"Medical clinic Satayana Rd, Batala Colony, Peoples Colony 2",Faisalabad,4.2
Dr Sadia Muzammil Clinic,Gynecologist,Obstetrician-gynecologist P-11 Civil Line Block,Faisalabad,5.0
Dr Noreen Rashid Gynacologist,Gynecologist,Medical clinic 677-B Satayana Rd,Faisalabad,3.7
Dr Shehla Shahbaz Consultant Gynaecologist & Obstetrician,Obstetrician,Womens health clinic Rubina Memorial hospital. Batala clony. Satiana road,Faisalabad,5.0
Dr Sidra Liaqat,Gynecologist,"Gynecologist Plot 4, 4 Street 15",Faisalabad,5.0
Dr Shazia Iltafat,Gynecologist,Obstetrician-gynecologist C433+6G2,Faisalabad,3.9
Dr Nazia specialist clinic,Gynecologist,Hospital F47H+H6M,Faisalabad,5.0
Dr Shagufta Zaheer Maternity Clinic,Gynecologist,Hospital C436+2W7,Faisalabad,4.5
Dr Farah sohail,Gynecologist,"Medical clinic C4V2+2GG, Raja Rd",Faisalabad,5.0
Dr Uzma Ali,Gynecologist,"Hospital Shop No.40, Makkah Commercial Market, 41 Chak 208 Rd",Faisalabad,4.4
Dr Q.A Awan,Gynecologist,"Hospital 93VV+M9V, Unnamed Road",Faisalabad,4.2
Dr Abdul Shakoor Medical Specialist,Medical Specialist,Doctor Mujahid Hospital,Faisalabad,4.5
Dr sajida Chaudhry,Gynecologist,Gynecologist 93P9+R3W,Faisalabad,3.6
Dr UZMA clinic Gynacologist,Gynecologist,Doctor F33V+J4C,Faisalabad,3.7
Dr Robina Kausar,Gynecologist,Doctor P-28,Faisalabad,4.7
Dr Kulsoom Pervaiz,Gynecologist,Gynecologist C4V5+WC5,Faisalabad,4.2
Dr Rahila Asif Skin Clinic,Dermatologist,Dermatologist 311-b Hakeem Sultan Ahmad Dawoodi Rd,Faisalabad,4.0
Dr Farah Khurram | Skin & Laser Specialist | Consultant Dermatologist,Dermatologist,Dermatologist C493+2M4 AL- Faisal Hospital,Faisalabad,5.0
Dr.Saima Ali (Best Dermatologist and Aesthetic physician),Dermatologist,Dermatologist Rehman hospital,Faisalabad,4.9
Dr Khurram Shehzad | Best Dermatologist in Faisalabad,Dermatologist,"Dermatologist C4CF+634 Mujahid Hospital, Susan Road",Faisalabad,4.2
Dr Amna Mehwish | Consultant Dermatologist | Skin & Laser Specialist,Dermatologist,Dermatologist C4GG+RXW Prime Care Hospital,Faisalabad,5.0
Dr Arif Maan Skin Specialist,Dermatologist,"Skin care clinic 928 B Chen One Rd, behind Outfitters, Faisalabad No prior appointment system Come to clinic and get checked on your turn",Faisalabad,4.1
Dr Shakoor Sajid Skin Care Clinic,Dermatologist,"Skin care clinic Ghulam Mohammadabad, Raja Chowk",Faisalabad,4.6
Dr Raza Hassan Skin&Laser Clinic,Dermatologist,"Dermatologist C3C7+74H, Gulberg Thana Rd",Faisalabad,3.0
"Dr Muhammad Ilyas, Dr Usman Ilyas Skin specialist",Dermatologist,Skin care clinic Dijkot Rd,Faisalabad,3.8
"Dr Shakeel Ahmad (Heart Specialist) MBBS, FCPS Cardiology",Heart Specialist,"Cardiologist Happyheartclinic, east, Canal Expy",Faisalabad,5.0
"Dr Danish Hassnain, ENT Specialist, Clinic/ Essential ENT Associates Faisalabad",ENT Specialist,"Otolaryngologist Hajrah Kareem Hospital, 186-B Main Blvd",Faisalabad,4.9
Dr Javed Ahmad |ENT| Specialist Faisalabad,ENT Specialist,Otolaryngologist Al Faisal hospital,Faisalabad,5.0
"Dr Nisar Akber Khan, ENT Specialist",ENT Specialist,"Doctor Faisal Hospital Basement, New Building, Lower Canal Rd E",Faisalabad,4.6
Dr Awais Ansari | ENT Specialist | Physician & Surgeon,Surgeon,"Otolaryngologist 571-B, Chughtai Medical Center, Satyana Road Parking",Faisalabad,4.8
Dr Muhammad Ali Tirmizey E.N.T,Surgeon,"Medical clinic C4GF+QJC Akram Shaheed Road, Susan Road",Faisalabad,4.3
Dr M.Anees Ur Rehman,Surgeon,"Otolaryngologist Islamabad Diagnostic Centre IDC, 563-B Satiana Road",Faisalabad,5.0
Dr Awais Ansari | ENT Specialist Faisalabad,ENT Specialist,Otolaryngologist Aziz Fatimah Hospital,Faisalabad,5.0
"Dr Hafiz Sajjad Hyder, ENT Specialist",ENT Specialist,"Otolaryngologist C3WX+GGW Tariq orthopaedic centre, Raja Rd",Faisalabad,4.3
Dr Muhammad Saleem,ENT Specialist,Hospital C23R+6GJ,Faisalabad,3.3
"Dr Shafiq ENT specialist (Ex-AMS DHQ Fsd, Ex-PMO ENT Deppt. DHQ Fsd.)","Ex-AMS DHQ Fsd, Ex-PMO ENT Deppt. DHQ Fsd.","Medical clinic Mithai Wala chowk, Waris Pura Rd",Faisalabad,4.0
Dr ikhlaq anwer(E.N.T) clinic,E.N.T,Hospital Gali No 4,Faisalabad,3.4
Dr Jameel clinic ڈاکٹر جمیل کلینک,E.N.T,Medical clinic 94WW+G53,Faisalabad,5.0
Dr Shahid Clinic,E.N.T,Medical clinic 95X7+5R9,Faisalabad,3.2
Dr Amjad Hussain Cheema Clinic,E.N.T,"Doctor C3VP+985, Street Number 7",Faisalabad,5.0
Dr Zafar Chaudhry,E.N.T,"Doctor C3MJ+H7P Dr Zafar Chaudhry, Bilal Rd",Faisalabad,5.0
Dr Nisar Ahmad,E.N.T,Medical clinic St 6,Faisalabad,4.7
"Dr Shakeel Ahmad (Heart Specialist) MBBS, FCPS Cardiology",Heart Specialist,"Cardiologist Happyheartclinic, east, Canal Expy",Faisalabad,5.0
"Dr Muhammad Jahangeer Sarwar (Heart-Specialist, Echocardiography) MBBS FCPS Cardiology","Heart-Specialist, Echocardiography","Cardiologist The Canal Hospital, Tatha Pull, Canal Expy, near Treat Bakers",Faisalabad,5.0
Dr Naeem Hameed-Interventional Cardiologist (FCPS Interventional Cardiology),Cardiologist,Cardiologist AL- Faisal Hospital,Faisalabad,4.9
Dr shehbaz amjad cardiologist,Cardiologist,Cardiologist Aziz Fatima trust hospital,Faisalabad,5.0
"Dr Shahid Abbas (Professor of Cardiology) Interventional Cardiologist, MBBS, FCPS Cardiology",Cardiologist,"Heart hospital Room 07, OPD Faisalabad Institute of Cardiology, Club Rd",Faisalabad,5.0
Dr Muhammad Saeed ashraf wahla. Consultant Cardiologist,Cardiologist,"Cardiologist 412 B, Ghulam Muhammad abad, Saddar Bazar",Faisalabad,4.7
Dr Rana Faiq Ilyas,Cardiologist,"Heart hospital Jhumra Rd, near Niaz Cinema",Faisalabad,4.2
Dr Muhammad Javed Iqbal,Cardiologist,"Cardiologist Naseem Yousaf Hospital, W Canal Rd, near Gatwala Underpass",Faisalabad,4.0
Dr shehbaz amjad,Cardiologist,"Cardiologist H59M+VFV Zohra Nawaz Medicare, Jhumra Bypass",Faisalabad,5.0
Dr Imtiaz Ahmad Pediatric Cardiologist,Cardiologist,Pediatric cardiologist,Faisalabad,4.9
Dr Abdul Hafeez Choudary,Cardiologist,Doctor C3F9+FQ3,Faisalabad,4.7
Dr Numan Arif Clinic (Abdullah Medicare),Abdullah Medicare,"Cardiologist Gulshan e Haram Villas, Main Niamuana Bypass Rd, near LIFECARE Pharmacy",Faisalabad,5.0
Dr Hafeez Chaudhary,Abdullah Medicare,Doctor C3F9+CP8,Faisalabad,5.0
Dr Muhammad Shahbaz,Abdullah Medicare,"Medical clinic C4J9+9VF, W Canal Rd",Faisalabad,5.0
Dr Yaser Mufti,Abdullah Medicare,"Doctor AFSAR ALI KHAN CLINIC, Saleemi chock, opposite mobilink office",Faisalabad,4.64
"Dr Naeem Asghar (Heart Specialist, Echocardiography, Angiography), Angioplasty(stenting), MBBS | FCPS (Cardiology)","stenting, Cardiology, Heart Specialist, Echocardiography, Angiography",Doctor IDC Lab Diagnostic Center people colony - Faisalabad,Faisalabad,4.64
Dr Haider Chaudhry,Neurologist,Neurologist C467+93J,Faisalabad,4.4
Dr Muhammad Bilal Waheed,Neurologist,"Neurologist Prime care hospital, near dewan e hassan bankuet hall",Faisalabad,4.8
Dr Arslan Hassan Awan,Neurologist,Neurologist C397+6RM AL Rehman hospital,Faisalabad,5.0
Dr Hafiz M Junaid Neurosurgeon / Brain and Spine Surgeon / Neurologist / Psychiatrist,Surgeon,"Neurosurgeon Siddique Medical Complex, Millat chowk, opposite Patan mart, near Nadra office",Faisalabad,5.0
Dr Azam Aslam & Dr.Faizan Aslam,Neurologist,Neurologist P-15,Faisalabad,4.6
Dr Naeem ur Rehman,Neurologist,"Neurologist Gulistan, 80 Raja Road, Colony",Faisalabad,5.0
Dr Hafiz M Junaid Neurosurgeon / Brain and Spine Surgeon / Neurologist / Neuropsychiatrist,Surgeon,"Neurologist IDC saleemi chowk 563-B1, Satiana Road,Peoples Colony, Service lane, near ideal Bakery",Faisalabad,5.0
Dr Naveed Alam | Best Consultant Neurologist in Mujahid Hospital Faislaabad,Neurologist,Hospital Mujahid Hospital,Faisalabad,4.8
Dr Mahmood Ismail Neuro Physician,Neurologist,Neurologist Street 1,Faisalabad,5.0
Dr Ayesha Irum,Neurologist,Neurologist Ayesha General Hospital,Faisalabad,5.0
"Dr Fahad Pervaiz Neurosurgeon, Spine Doctor, Brain surgeon, Psychiatrist in Faisalabad",Surgeon,"Doctor Hajra Karim Hospital, Main Blvd",Faisalabad,5.0
Dr Javed Iqbal (Neuro Physician),Neuro Physician,Hospital B703 sitana rood,Faisalabad,3.8
Dr.IRAM JAVED @Ibrahim Specialist Clinic,Pediatrician,"Pediatric neurologist 16-206 W Canal Rd, near Kashmir Pul underpass, near Ideal Bakers",Faisalabad,4.7
Dr Tariq Ahmed Professor of Neurosurgery,Surgeon,"Neurosurgeon F38C+49J Bushra Nayar Medical Center, Masjid Ismail Rd",Faisalabad,3.7
Dr Wakeel Ahmad Haral,Surgeon,Medical clinic Sitara Gulshan-I-Aziz Daewoo rd near Total Petrol Pump,Faisalabad,4.3
"Dr Shakeel Ahmad (Heart Specialist) MBBS, FCPS Cardiology",Heart Specialist,"Cardiologist Happyheartclinic, east, Canal Expy",Faisalabad,5.0
Dr Naeem Khan (Child Specialist),Child Specialist,Hospital 17/H Raja Rd,Faisalabad,4.3
Dr Faizan Aslam,Child Specialist,Medical clinic Sahil hospital,Faisalabad,5.0
Dr Nazir Ahmed,Child Specialist,"Doctor Madina Centre, Rex City Rd, Saleemi Chowk, Peoples Colony 1",Faisalabad,5.0
Dr Javaid Iqbal,Child Specialist,Medical clinic C3VQ+J9M,Faisalabad,4.64
Dr Muhammad Usman Nephrologist/Kidney Specialist,Nephrologist,Nephrologist 673-A Lower Canal Rd E,Faisalabad,4.6
Dr Wasif Baig Kidney Care Clinic,Nephrologist,"Nephrologist Islamabad Diagnostic CenterIDC, Faisalabad Specialist Clinic, 563-B Satayana Rd, near Ideal Bakery",Faisalabad,4.9
Dr Ijaz,Nephrologist,Medical clinic,Faisalabad,4.7
Dr Muhammad Shahbaz,Nephrologist,"Medical clinic C4J9+9VF, W Canal Rd",Faisalabad,5.0
Dr Tufail,Nephrologist,Medical clinic C3XP+X74,Faisalabad,3.9
Dr Tufail Saeed,Nephrologist,Doctor G4CP+H6C,Faisalabad,5.0
Dr IMRAN QADIR MD FCPS Consultant Urologist,Urologist,"Hospital 120 JB, Sargodha Rd",Faisalabad,4.5
Dr Kashan Arshad (Pediatric Endocrinologist & Diabetologist),Endocrinologist,Pediatric endocrinologist C3C7+75R The National Hospital,Faisalabad,4.9
Dr YOUSAF IKRAM,Endocrinologist,"Diabetologist 93MV+F86, Main Bazar",Faisalabad,5.0
Dr.Iltifat Clinic,Endocrinologist,Doctor,Faisalabad,4.3
Dr Shagufta Zaheer Maternity Clinic,Endocrinologist,Hospital C436+2W7,Faisalabad,4.5
Dr Muhammad Usman Nephrologist/Kidney Specialist,Nephrologist,Nephrologist 673-A Lower Canal Rd E,Faisalabad,4.6
Dr Wasif Iqbal best Child Specialist and Neonatologist with Online video Consultation.,Neonatologist,"Pediatrician Islamabad Diagnostic Center Susan, Road",Faisalabad,4.8
Dr Zaid Gul | Liver and Stomach Care | Gastroenterologist and Hepatologist,Gastroenterologist,Gastroenterologist Faisal Hospital,Faisalabad,4.8
