Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Acne",Child,Female,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems, Confusion",Child,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Teen,Any,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath, Wheezing",Child,Male,Mild,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss",Child,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Adult,Any,Moderate,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Hair thinning",Elderly,Female,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Abdominal pain",Teen,Any,Mild,Surgeon
Eczema,Dermatological,"Itchy skin, Red patches, Swelling, Dryness",Adult,Any,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness",Teen,Female,Moderate,Neurologist
Flu,Common Illnesses,"Body aches, Sore throat",Adult,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough, Fatigue",Elderly,Female,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Elderly,Any,Severe,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Adult,Any,Mild,Neurologist
Flu,Common Illnesses,"Fever, Chills, Cough",Child,Male,Severe,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment, Memory loss",Adult,Female,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite",Teen,Female,Mild,Surgeon
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Teen,Any,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Child,Male,Severe,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Child,Female,Mild,Endocrinologist
Flu,Common Illnesses,"Body aches, Sore throat",Adult,Female,Mild,General Physician
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion, Numbness",Elderly,Male,Mild,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning",Adult,Female,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Sweating",Child,Any,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Child,Male,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Itchy skin",Elderly,Male,Severe,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion",Elderly,Any,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Child,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion, Vision problems",Adult,Female,Mild,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Child,Any,Moderate,Surgeon
Flu,Common Illnesses,"Chills, Body aches",Elderly,Female,Moderate,General Physician
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath",Teen,Any,Severe,Pulmonologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Night sweats, Cough",Child,Female,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning",Adult,Male,Moderate,Gynecologist
Flu,Common Illnesses,"Cough, Sore throat",Child,Any,Moderate,General Physician
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision, Frequent urination",Elderly,Any,Severe,Endocrinologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Teen,Female,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Abdominal pain, Loss of appetite",Teen,Female,Severe,Surgeon
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Any,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination, Fatigue",Adult,Female,Severe,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Chest pain",Elderly,Male,Mild,Cardiologist
Flu,Common Illnesses,"Cough, Fever",Elderly,Female,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness",Elderly,Any,Mild,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Abdominal pain, Nausea",Child,Female,Mild,Surgeon
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness",Teen,Any,Severe,Pulmonologist
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Trouble walking",Adult,Any,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting, Nausea",Elderly,Female,Severe,Surgeon
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Adult,Female,Mild,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating",Elderly,Any,Severe,Cardiologist
Asthma,Chronic Illness,"Wheezing, Chest tightness",Elderly,Female,Mild,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss",Teen,Male,Moderate,Neurologist
PCOS,Chronic Disorder,"Weight gain, Acne",Teen,Any,Mild,Gynecologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Elderly,Female,Severe,Gynecologist
Flu,Common Illnesses,"Chills, Cough",Child,Male,Moderate,General Physician
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Fatigue, Frequent urination",Teen,Female,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning",Elderly,Any,Severe,Gynecologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Child,Male,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Acne",Elderly,Female,Severe,Gynecologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite",Elderly,Male,Mild,Surgeon
Eczema,Dermatological,"Swelling, Red patches, Dryness",Teen,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Adult,Male,Severe,Endocrinologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Teen,Any,Moderate,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss, Mood swings",Teen,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Adult,Male,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Weight loss, Cough, Night sweats",Teen,Any,Mild,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting",Child,Male,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite",Elderly,Female,Severe,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss, Confusion",Child,Any,Moderate,Neurologist
Flu,Common Illnesses,"Cough, Body aches, Fever",Adult,Male,Moderate,General Physician
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating, Chest pain",Teen,Male,Severe,Cardiologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Adult,Any,Mild,Surgeon
Flu,Common Illnesses,"Fever, Chills, Cough, Sore throat",Adult,Male,Moderate,General Physician
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Weight loss, Cough",Adult,Male,Moderate,Infectious Disease Specialist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough",Elderly,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Elderly,Any,Mild,Endocrinologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Teen,Any,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Elderly,Male,Severe,Dermatologist
Heart Attack,Emergency Care,"Nausea, Sweating",Adult,Any,Severe,Cardiologist
Heart Attack,Emergency Care,"Chest pain, Nausea",Adult,Any,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea, Abdominal pain",Adult,Male,Severe,Surgeon
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Trouble walking",Adult,Male,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Teen,Male,Mild,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness",Elderly,Male,Mild,Pulmonologist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain",Child,Female,Moderate,Surgeon
Flu,Common Illnesses,"Cough, Chills",Teen,Female,Moderate,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Nausea, Sweating",Adult,Male,Severe,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss",Adult,Female,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Adult,Female,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion, Mood swings",Adult,Any,Severe,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue",Child,Any,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Itchy skin, Red patches",Teen,Male,Moderate,Dermatologist
Flu,Common Illnesses,"Fever, Cough, Body aches",Elderly,Female,Moderate,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Teen,Any,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings, Memory loss",Child,Female,Severe,Neurologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Weight loss",Adult,Male,Moderate,Infectious Disease Specialist
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Teen,Female,Severe,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment",Child,Female,Severe,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning",Child,Any,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Teen,Female,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Adult,Male,Mild,Surgeon
Flu,Common Illnesses,"Chills, Cough, Body aches",Child,Male,Mild,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings",Child,Female,Mild,Neurologist
PCOS,Chronic Disorder,"Weight gain, Acne, Irregular periods, Hair thinning",Child,Female,Severe,Gynecologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain",Adult,Any,Moderate,Gynecologist
Flu,Common Illnesses,"Fever, Cough",Teen,Male,Mild,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Nausea, Vomiting",Elderly,Male,Mild,Surgeon
Eczema,Dermatological,"Swelling, Dryness",Adult,Male,Moderate,Dermatologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Adult,Any,Mild,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Chest pain",Teen,Any,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Child,Male,Severe,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Confusion",Elderly,Any,Moderate,Neurologist
Eczema,Dermatological,"Dryness, Swelling",Adult,Female,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting, Abdominal pain",Child,Male,Severe,Surgeon
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Male,Moderate,Surgeon
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain, Acne",Teen,Any,Mild,Gynecologist
Flu,Common Illnesses,"Fever, Sore throat, Body aches, Cough",Child,Male,Moderate,General Physician
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Vomiting, Loss of appetite",Teen,Female,Moderate,Surgeon
Flu,Common Illnesses,"Body aches, Cough",Teen,Female,Mild,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite",Adult,Any,Mild,Surgeon
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Any,Moderate,Neurologist
Flu,Common Illnesses,"Sore throat, Chills, Body aches",Teen,Female,Mild,General Physician
Eczema,Dermatological,"Swelling, Itchy skin, Red patches",Adult,Any,Severe,Dermatologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Elderly,Female,Mild,Cardiologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Child,Male,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne, Hair thinning",Child,Any,Moderate,Gynecologist
Asthma,Chronic Illness,"Wheezing, Cough",Elderly,Female,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Elderly,Any,Moderate,Surgeon
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Child,Female,Severe,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst, Fatigue",Adult,Female,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea",Teen,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Teen,Female,Moderate,Neurologist
PCOS,Chronic Disorder,"Weight gain, Acne, Irregular periods",Elderly,Female,Severe,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Any,Mild,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Teen,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness",Child,Any,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Child,Any,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness",Child,Male,Moderate,Dermatologist
Eczema,Dermatological,"Swelling, Itchy skin, Red patches",Elderly,Female,Moderate,Dermatologist
Flu,Common Illnesses,"Chills, Fever, Cough, Sore throat",Child,Any,Severe,General Physician
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Adult,Female,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss, Night sweats",Elderly,Any,Severe,Infectious Disease Specialist
Flu,Common Illnesses,"Chills, Body aches, Fever, Cough",Elderly,Female,Mild,General Physician
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Frequent urination, Increased thirst",Elderly,Any,Mild,Endocrinologist
Heart Attack,Emergency Care,"Sweating, Shortness of breath",Elderly,Male,Mild,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Adult,Male,Severe,Surgeon
Diabetes,Chronic Illness,"Frequent urination, Increased thirst",Adult,Male,Moderate,Endocrinologist
Eczema,Dermatological,"Red patches, Dryness, Swelling, Itchy skin",Child,Any,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Elderly,Male,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite",Teen,Female,Severe,Surgeon
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination",Teen,Any,Severe,Endocrinologist
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing",Teen,Any,Mild,Pulmonologist
Eczema,Dermatological,"Swelling, Red patches, Dryness, Itchy skin",Adult,Any,Severe,Dermatologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Adult,Any,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Teen,Female,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings, Confusion",Child,Any,Mild,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Teen,Female,Moderate,Surgeon
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Increased thirst, Blurred vision",Child,Male,Moderate,Endocrinologist
Eczema,Dermatological,"Itchy skin, Swelling, Dryness",Child,Any,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Teen,Female,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Elderly,Any,Mild,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea",Adult,Any,Mild,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Child,Any,Moderate,Neurologist
Flu,Common Illnesses,"Chills, Cough, Sore throat",Adult,Any,Mild,General Physician
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning, Acne",Teen,Male,Mild,Gynecologist
Eczema,Dermatological,"Dryness, Red patches, Swelling",Elderly,Female,Moderate,Dermatologist
PCOS,Chronic Disorder,"Weight gain, Acne",Child,Female,Severe,Gynecologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Child,Male,Mild,Endocrinologist
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Any,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss",Teen,Any,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Mood swings",Child,Male,Mild,Neurologist
Flu,Common Illnesses,"Fever, Body aches, Sore throat, Cough",Child,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Teen,Male,Moderate,Surgeon
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination, Fatigue",Teen,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue, Increased thirst",Teen,Any,Mild,Endocrinologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Adult,Any,Severe,Neurologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats",Teen,Male,Severe,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Abdominal pain, Loss of appetite",Teen,Female,Mild,Surgeon
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough, Night sweats",Adult,Any,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue, Increased thirst",Child,Any,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion, Poor judgment",Child,Female,Moderate,Neurologist
Flu,Common Illnesses,"Cough, Sore throat, Fever, Body aches",Teen,Male,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss, Poor judgment",Teen,Any,Moderate,Neurologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Teen,Female,Mild,Pulmonologist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats, Weight loss",Teen,Any,Severe,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Dryness, Itchy skin",Elderly,Male,Severe,Dermatologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Teen,Female,Moderate,Surgeon
Flu,Common Illnesses,"Cough, Chills, Fever",Elderly,Any,Mild,General Physician
Flu,Common Illnesses,"Chills, Fever",Elderly,Male,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Adult,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Elderly,Female,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Adult,Female,Mild,Gynecologist
Flu,Common Illnesses,"Chills, Fever, Body aches, Cough",Teen,Any,Moderate,General Physician
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Male,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats",Teen,Male,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Red patches",Child,Any,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Confusion, Trouble walking",Adult,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Teen,Any,Severe,Pulmonologist
Flu,Common Illnesses,"Body aches, Chills, Cough, Sore throat",Adult,Female,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion",Elderly,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing",Elderly,Female,Mild,Pulmonologist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough",Adult,Male,Mild,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Child,Male,Mild,Neurologist
Eczema,Dermatological,"Swelling, Itchy skin, Red patches",Child,Any,Moderate,Dermatologist
Diabetes,Chronic Illness,"Increased thirst, Fatigue",Child,Any,Severe,Endocrinologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Teen,Any,Moderate,Pulmonologist
Eczema,Dermatological,"Swelling, Dryness",Teen,Female,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough, Weight loss",Child,Male,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Swelling, Dryness",Adult,Any,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Child,Male,Moderate,Surgeon
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath",Adult,Male,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Acne, Hair thinning",Teen,Any,Severe,Gynecologist
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath",Elderly,Female,Moderate,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea, Sweating",Elderly,Any,Moderate,Cardiologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Numbness, Trouble walking",Adult,Female,Severe,Neurologist
Eczema,Dermatological,"Itchy skin, Swelling, Dryness, Red patches",Child,Female,Mild,Dermatologist
Flu,Common Illnesses,"Body aches, Sore throat, Chills",Teen,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Cough",Teen,Female,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Itchy skin, Swelling, Dryness",Child,Any,Mild,Dermatologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough, Shortness of breath",Adult,Male,Severe,Pulmonologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss",Child,Female,Mild,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems, Trouble walking",Teen,Any,Mild,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Fatigue",Adult,Male,Mild,Endocrinologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain",Child,Any,Mild,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Hair thinning",Teen,Female,Severe,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion",Child,Any,Moderate,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision",Teen,Male,Moderate,Endocrinologist
Flu,Common Illnesses,"Cough, Body aches, Fever, Chills",Adult,Female,Moderate,General Physician
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Child,Any,Severe,Dermatologist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Teen,Male,Moderate,Gynecologist
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Elderly,Male,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness, Confusion",Teen,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Shortness of breath",Teen,Any,Severe,Pulmonologist
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Nausea",Adult,Any,Moderate,Cardiologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning",Teen,Male,Mild,Gynecologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst",Adult,Any,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Weight gain, Acne, Irregular periods, Hair thinning",Elderly,Any,Severe,Gynecologist
Flu,Common Illnesses,"Chills, Cough",Elderly,Female,Moderate,General Physician
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Child,Female,Mild,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Adult,Female,Mild,Neurologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Weight gain, Irregular periods",Elderly,Female,Severe,Gynecologist
Flu,Common Illnesses,"Fever, Cough, Sore throat, Chills",Child,Male,Moderate,General Physician
Asthma,Chronic Illness,"Cough, Shortness of breath",Elderly,Any,Mild,Pulmonologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Teen,Any,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue, Weight loss",Child,Female,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Cough, Sore throat",Elderly,Male,Moderate,General Physician
Flu,Common Illnesses,"Fever, Sore throat, Chills, Body aches",Child,Male,Moderate,General Physician
Flu,Common Illnesses,"Body aches, Cough",Elderly,Any,Mild,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Elderly,Male,Moderate,Neurologist
PCOS,Chronic Disorder,"Weight gain, Hair thinning, Acne",Elderly,Any,Mild,Gynecologist
Flu,Common Illnesses,"Sore throat, Fever, Cough",Teen,Female,Mild,General Physician
PCOS,Chronic Disorder,"Acne, Irregular periods",Teen,Male,Severe,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Child,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Elderly,Any,Severe,Neurologist
Eczema,Dermatological,"Dryness, Swelling, Red patches",Child,Any,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss",Child,Any,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Body aches, Chills",Teen,Female,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Teen,Female,Mild,Neurologist
Flu,Common Illnesses,"Fever, Body aches, Chills, Sore throat",Child,Male,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Elderly,Male,Mild,Neurologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating",Teen,Female,Moderate,Cardiologist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Child,Male,Severe,Pulmonologist
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness, Shortness of breath",Elderly,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion",Adult,Any,Severe,Neurologist
PCOS,Chronic Disorder,"Weight gain, Hair thinning",Adult,Female,Mild,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Child,Female,Mild,Neurologist
Flu,Common Illnesses,"Sore throat, Cough, Body aches, Fever",Adult,Female,Mild,General Physician
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Female,Moderate,Endocrinologist
